season,episode_number,title,airdate,rating,total_votes,desc
1,1,Rose,2006-03-17,7.5,8533,When ordinary shop-worker Rose Tyler meets a mysterious stranger called the Doctor she is drawn into his strange and dangerous world; her life will never be the same again.
1,2,The End of the World,2006-03-17,7.5,7471,The Doctor takes Rose to the year 5 billion to witness the destruction of the Earth.
1,3,The Unquiet Dead,2006-03-24,7.5,6986,The Doctor has great expectations for his latest adventure when he and Rose join forces with Charles Dickens to investigate a mysterious plague of zombies.
1,4,Aliens of London,2006-03-31,7.0,6718,"The Doctor returns Rose to her own time - well, sort of - but her family reunion is ruined when a spaceship crashes in the middle of London. What is the origin of the spaceship, and where has the Prime Minister gone in this time of crisis?"
1,5,World War Three,2006-04-07,7.0,6514,The Slitheen have infiltrated Parliament and have the Doctor and his friends trapped as the Doctor works to prevent them from starting World War Three.
1,6,Dalek,2006-04-14,8.6,7415,"The TARDIS is drawn to an alien museum deep below the Utah desert, where a ruthless billionaire keeps prisoner the last of the Doctor's most fearsome enemies."
1,7,The Long Game,2006-04-21,7.1,6437,"In the year 200,000 the Doctor discovers that a satellite with a dark secret is controlling humanity and slowing its development."
1,8,Father's Day,2006-04-28,8.3,7077,"Rose asks The Doctor to take her to 1987, on the day her father was killed."
1,9,The Empty Child,2006-05-05,9.1,8577,"When a spaceship crashes in the middle of the London Blitz the Doctor, Rose and the enigmatic Captain Jack Harkness find themselves investigating a plague of physical injuries and a little boy in a gas mask."
1,10,The Doctor Dances,2006-05-12,9.1,7889,The gas mask zombies are on the rise as the plague spreads across war-torn London.
1,11,Boom Town,2006-05-19,7.1,6146,"Stopping off in present-day Cardiff to recharge the TARDIS, The Doctor, Rose and Jack meet up with Mickey and encounter an old foe in the midst of hatching a scheme that could destroy the entire planet."
1,12,Bad Wolf,2006-06-02,8.6,6985,"The Doctor, Rose and Jack are separated and forced to compete in twisted and deadly games on the Game Station."
1,13,The Parting of the Ways,2006-06-09,9.1,7507,"As the Dalek fleet begin their attack on the Earth, the Doctor and his allies make one final stand."
2,0,The Christmas Invasion,2006-09-29,8.1,6903,"It's Christmas Eve, but this is to be a far from silent night - the cruel Sycorax have come to Earth to enslave mankind and, as ever, only The Doctor can stop them. Unfortunately, he's lying in a coma in Jackie's home..."
2,1,New Earth,2006-09-29,7.4,6451,The Doctor and Rose arrive on New Earth and meet old friends and enemies in a hospital which can cure every disease. But the cures come at a terrible cost.
